"id","name","type","person_in_charge","address","email","phone","description","createdAt","updatedAt"
"887b4f0e-3d99-45e1-b466-4e3e6279bc0c","Amitié France Afrique Madagascar","ASSOCIATION","M. Bernardin","Tsiroanomandidy","brandriamitsirilaza@gmail.com","+261 38 40 975 17","Autre numéro +261 34 95 630 36","2025-07-21 08:50:05.575","2025-07-21 08:50:05.575"
"d7ab0118-d116-401f-9431-190198c0d961","Arc en ciel","ASSOCIATION","Claire Razafindalana Koenot","Tsiroanomandidy","rclairoch@gmail.com","+261 34 43 661 28","Autre numéro +261 32 47 813 50","2025-07-21 08:51:58.228","2025-07-21 08:51:58.228"
"b57ef7b4-2aef-49e7-885f-225b5444c317","Ass. Culturelle des personnes en situation de Hand.ASCUPSH","ASSOCIATION","Dr. HDR ANDRIANAINARIVELO Mahandrimanana","Antananarivo","m.andrianainarivelo@gmail.com","+261 32 04 026 25","Autre numéro +261 33 82 435 99	
","2025-07-21 08:54:19.834","2025-07-21 08:54:19.834"
"cf07dd6b-1fee-4efc-9f9d-221ea50f5ab9","Centre Social Anyma","ASSOCIATION","Sonia RASANDA","LOT III G 36 ANDREFANA AMBOHIJANAHARY antananarivo","csanyma@moov.mg","+261 34 18 821 80","Autre numéro +261 34 20 267 41 
https://www.anyma-madagascar.org/
","2025-07-21 08:57:44.256","2025-07-21 08:57:44.256"
"4f22d3bd-3e01-408b-9a75-e153334ee909","CHRR-CSB","INSTITUTIONNEL_MINSAN","Dre Fenosoa Randriantsizafy Ramakilahy","ITsiroanomandidy","fitia.fenosoa@yahoo.fr","+261 34 09 102 49","Autre numéro +261 33 79 097 97
drsp.bongolava.sante@gmail.com
Centre Hospitalier de Référence Régionale -  Centre de Santé de Base I ","2025-07-21 09:01:19.206","2025-07-21 09:01:19.206"
"6f621046-d358-4c24-a697-97be9b568bfa","CHU-JRA","ASSOCIATION","Dr Ramarolahy, Directeur du CHU-JRA	CHU JRA ","CHU-JRA Ampefiloha, Antananarivo","mamisoajudicael@yahoo.fr","+261 32 95 673 90","+261 32 95 673 90 (Tojo) 
+261 32 04 663 22 (Dr Mamisoa)
+261 34 14 203 52 (Dr Mamisoa) 
partenariathjra@gmail.com   
andriatiaray@yahoo.fr","2025-07-21 09:04:52.297","2025-07-21 09:04:52.297"
"c5e21ebf-d3c8-4fd2-a7b4-360c5bfdddf0","Enfant du Monde Réunion EDM","ASSOCIATION","Laurence DORLA","1 rue cimendef 97420 Le Port","enfantsdumondereunion@gmail.com","+262 692 380 042","Laurence DORLA - Le Port - Réunion
Hery EDM Mada	 - Antananarivo	 +261 34 01 288 22	
","2025-07-21 09:07:49.868","2025-07-21 09:07:49.868"
"ea44591b-170a-4ab8-bf0f-ec3781b12ea8","Famille Onja","INDIVIDUEL","Adeline ","Alasora","no.adress@no.adress.com","+261 33 81 141 79	","","2025-07-21 09:10:23.287","2025-07-21 09:10:23.287"
"91672836-7942-4074-9da0-a1f927ac494f","FSSB	","ASSOCIATION","M. Faly Manantsoa Armand","Tsiroanomandidy	","no.adress@no.adress","+261 34 12 104 87","Association des personnes handicapées et de leurs amis de Bongolava
Autre numéro +261 33 05 151 86","2025-07-21 09:13:17.331","2025-07-21 09:13:17.331"
"41f3b10a-06ec-4fa4-9595-5ef1a8c4e3c7","Handitrust Ability","ASSOCIATION","Sylvie Ransendra","Itaosy","sylvie.brandrup@gmail.com","+261 34 11 426 35","Autre numéro +261 32 94 900 86	","2025-07-21 09:14:59.41","2025-07-21 09:14:59.41"
"170eb035-91ed-4511-902d-cbb8bde5aa68","Le Sourire d'Onja","ASSOCIATION","Didier Pairain","9, Chemin des Buissons 97460 Saint Paul","president@lesouriredonja.com","+262 692 875 181","Autre numéro +261 32 24 500 40	","2025-07-21 09:16:20.657","2025-07-21 09:16:20.657"
"3791aea0-2d84-48ee-b9d8-7787df63aa1b","Les Roseaux Antsirabe","ASSOCIATION","Henriette Zanalène","Antsirabe	","nana.henriette.assoc@gmail.com","+261 34 81 467 66	","
","2025-07-21 09:17:27.281","2025-07-21 09:17:27.281"
"136fc517-562c-4d68-aa4c-8f6adaa4069c","Madatriso","ASSOCIATION","Ando Andrianarisaina","Antananarivo	","madatriso@gmail.com","+261 32 05 422 22 ","Bureau +261 34 30 611 32	

","2025-07-21 09:18:38.909","2025-07-21 09:18:38.909"
"1418b117-6cf4-4a0e-8997-88c898cf27c3","ML-Akany","CONGREGATION_RELIGIEUSE","Sœur Marie-louise","Tsiroanomandidy	","marielouisemada@yahoo.fr","+261 34 18 090 29","Autre numéro +261 34 49 029 08 	
","2025-07-21 09:20:07.693","2025-07-21 09:20:07.693"
"8b5d49cb-6ed8-45f5-9ecd-598db37cc996","Orchidées blanches","ETABLISSEMENT","Coordinatrice : ANDRIANARIVONY F. / Mme Bakoly","Antananarivo	","orchideesblanches@moov.mg","+261 34 30 611 32 ","Autre numéro +261 20 76 426 23
","2025-07-21 09:21:55.301","2025-07-21 09:21:55.301"
"28ed69b3-a4e4-4f3e-a938-5b8b174045e8","Rolland-Ambato","CONGREGATION_RELIGIEUSE","Rolland Andrianoelisoa","Centre Sacré Cœur d’Ambatolampy","frevariste@gmail.com","+261 34 91 721 31	","			","2025-07-21 09:22:57.61","2025-07-21 09:22:57.61"
"aca1b77c-f857-4d83-95dd-a03a5c3cba15","Sandratra","ASSOCIATION","TSIRINANTENAINA/Angelica Walter/Jossy Rakotomavo","Antananarivo","asso.sandratra@gmail.com","+261 34 36 012 02","Autre numéro +261 34 02 930 47 (Angelica)
Autre adresse mail : angelicawaltertsiry@gmail.com
","2025-07-21 09:26:54.597","2025-07-21 09:26:54.597"
"00df1c9f-0bc3-4a52-bc57-1d90c89b8d4f","Sahondra	","INDIVIDUEL","Sahondra Raharisoa","Ankadifotsy	","mimisahondra@yahoo.fr","+261 34 79 053 23","Autre numéro +261 32 55 174 62	
","2025-07-21 09:24:40.783","2025-07-21 09:27:07.809"
"e4e37b26-2c23-4230-a4c8-6c1e4279e6c0","Sembana Mijoro","ASSOCIATION","Fela Razafinjato","Antananarivo	","fela.csm@moov.mg","+261 34 17 547 03","Autres numéros 
+261 33 11 574 73
+261 34 42 459 29	
","2025-07-21 09:28:37.008","2025-07-21 09:28:37.008"
"4f29f89b-7537-4b81-aa89-a9a262a9911e","Titel","ASSOCIATION","Hary Rabefanirak","N°31 Lotissement Bonnet Ivandry Antananarivo","associationtitel@gmail.com","+261 34 15 712 72","Autres numéros 
+261 33 60 712 60
+261 32 67 615 60 
Autre adresse mail : haryrabefa@gmail.com","2025-07-21 09:35:52.526","2025-07-21 09:35:52.526"
"c89cb920-033e-4c65-9889-e9ba6c7094e9","SOS-MADAGASCAR","ASSOCIATION","Présidente : Lalanirina Delaporte - Elisabeth baron, Resp. Mada Hajalala","Centre de Namahora à Morondava","elisabeth.baron55@gmail.com","+261 33 6 45 65 18 36","Autre numéro : +261 33 11 624 11	
Autre adresse mail : lala.delaporte@wanadoo.fr
","2025-07-21 09:31:56.089","2025-07-21 09:36:16.674"
"25a50df5-c861-4f7d-9a20-af88728bbbcc","Tsanta","INDIVIDUEL","Tsanta Andriamalala infirmière","Antananarivo","tsantandriamalala002@gmail.com","	+261 34 18 053 37","Autre numéro : +261 33 63 305 01	","2025-07-21 09:38:02.47","2025-07-21 09:38:02.47"
"5948a86c-caed-41b3-9129-6d5c85eb2fea","Viviane","ASSOCIATION","Viviane Randrianarisoa","Mandroseza","no.adress@no.adress","+261 32 50 742 40","	
","2025-07-21 09:39:32.619","2025-07-21 09:39:32.619"
